fid,BAUMNUMMER,FID_ANLAGE,BAUMART_K,BAUMART_L,BAUMART_D,EIGENTUEMER,PFLEGEZUSTAENDIGKEIT,PFLEGESTUFE,BAUMSTATUS,PFLANZJAHR,FALLDATUM,SCHUTZART,KATEGORIE,BAUMHOEHE,MINDESTBAUMHOEHE,KRONE,KRONENDURCHMESSER,MINDESTDURCHMESSER,BAUMTYP,LAGEGENAUIGKEIT,FORMSCHNITT,$GEOMETRY1,Z,BREITENGRAD,LAENGENGRAD,DATE_CREATED,DATE_MODIFED,$SQLLABEL1,X,Y
753643,29561,Verkehrsgrün kommunal. Talacker,acce,Acer campestre 'Elsrijk',Kegel-Feldahorn,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2007,,,Laubbaum,8,10,grosskronig,7,8,Strassenbaum,VA,NEIN,2698945.60 / 1262969.20,494.5,47.51001829,8.7521159,"09.11.2016","03.04.2025",false,2698945.6,1262969.2
753646,29398,Verkehrsgrün kommunal. Tössfeld,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2010,,,Laubbaum,2.3,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2696045.05 / 1260953.10,437.8,47.49231818,8.71318396,"09.11.2016","03.12.2025",false,2696045.05,1260953.1
753652,29595,KG Zinzikon,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2008,,,Laubbaum,4,4,kleinkronig,3,3,Strassenbaum,VA,NEIN,2699116.25 / 1263919.20,475.85,47.51853557,8.75459219,"09.11.2016","03.04.2025",false,2699116.25,1263919.2
753655,29552,Verkehrsgrün kommunal. Talacker,acce,Acer campestre 'Elsrijk',Kegel-Feldahorn,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2007,,,Laubbaum,7,10,grosskronig,4,8,Strassenbaum,VA,NEIN,2698979.45 / 1262884.95,485.9,47.50925556,8.75254646,"09.11.2016","03.04.2025",false,2698979.45,1262884.95
753658,36454,Frohbergpark,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2009,,,Laubbaum,9,25,grosskronig,3,12,Strassenbaum,VA,NEIN,2696703.45 / 1261189.45,453.35,47.49434713,8.72197091,"09.11.2016","01.01.2026",false,2696703.45,1261189.45
753661,29481,Hardau Mini-Pitch Anlage,pyca,Pyrus calleryana 'Chanticleer',Chinesische Wild-Birne,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2007,,,Laubbaum,9,10,grosskronig,5.5,8,Strassenbaum,VA,NEIN,2693645.65 / 1263037.35,409.45,47.51140744,8.68178626,"09.11.2016",31.07.2025,false,2693645.65,1263037.35
753664,29461,Verkehrsgrün kommunal. Brühlberg,cabf,Carpinus betulus 'Fastigiata',Säulen-Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2007,,,Laubbaum,6,15,grosskronig,2,5,Strassenbaum,VA,NEIN,2696057.40 / 1261622.85,456.1,47.49833927,8.71349213,"09.11.2016","03.04.2025",false,2696057.4,1261622.85
753668,27370,Verkehrsgrün überkommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699424.95 / 1260244.95,456.5,47.4854477,8.75787041,"09.11.2016","03.12.2025",false,2699424.95,1260244.95
753671,27337,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2013,,,Laubbaum,,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2699998.35 / 1261733.22,458.685,47.49874431,8.76581104,"09.11.2016","03.12.2025",false,2699998.35,1261733.22
753675,27274,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,12,15,grosskronig,3.5,8,Strassenbaum,VA,NEIN,2697844.05 / 1260911.75,447.85,47.49168113,8.73704403,"09.11.2016","03.12.2025",false,2697844.05,1260911.75
753678,27373,Verkehrsgrün überkommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699488.60 / 1260196.95,457.5,47.48500643,8.75870409,"09.11.2016","03.12.2025",false,2699488.6,1260196.95
